nombre tamaño tiempo pasos
DivisionTentativa 726673 1.0728836059570312e-05 44
BrentPollardPrime 726673 0.0002155303955078125 0
DivisionTentativa 238857 6.4373016357421875e-06 33
BrentPollardPrime 238857 7.367134094238281e-05 0
DivisionTentativa 563786 1.9550323486328125e-05 146
BrentPollardPrime 563786 3.409385681152344e-05 0
DivisionTentativa 76441 0 0
BrentPollardPrime 76441 0 0
DivisionTentativa 908268 1.0013580322265625e-05 79
BrentPollardPrime 908268 7.62939453125e-05 0
DivisionTentativa 202394 1.0728836059570312e-05 89
BrentPollardPrime 202394 3.0994415283203125e-05 0
DivisionTentativa 646466 1.9550323486328125e-05 155
BrentPollardPrime 646466 3.266334533691406e-05 0
DivisionTentativa 702046 2.0742416381835938e-05 162
BrentPollardPrime 702046 3.409385681152344e-05 0
DivisionTentativa 676202 7.152557373046875e-06 59
BrentPollardPrime 676202 0.0001995563507080078 0
DivisionTentativa 255813 3.814697265625e-06 24
BrentPollardPrime 255813 9.202957153320312e-05 0
DivisionTentativa 5924240 5.4836273193359375e-06 29
BrentPollardPrime 5924240 0.00017333030700683594 0
DivisionTentativa 5350127 8.344650268554688e-06 67
BrentPollardPrime 5350127 0.0002689361572265625 0
DivisionTentativa 5712000 4.0531158447265625e-06 17
BrentPollardPrime 5712000 5.14984130859375e-05 0
DivisionTentativa 8524449 6.67572021484375e-06 45
BrentPollardPrime 8524449 0.00015974044799804688 0
DivisionTentativa 5834704 2.3603439331054688e-05 168
BrentPollardPrime 5834704 4.00543212890625e-05 0
DivisionTentativa 1390215 1.049041748046875e-05 86
BrentPollardPrime 1390215 7.534027099609375e-05 0
DivisionTentativa 9988504 4.2438507080078125e-05 304
BrentPollardPrime 9988504 4.0531158447265625e-05 0
DivisionTentativa 4813223 1.0967254638671875e-05 90
BrentPollardPrime 4813223 0.00011301040649414062 0
DivisionTentativa 8501153 1.2636184692382812e-05 97
BrentPollardPrime 8501153 0.0004360675811767578 0
DivisionTentativa 3333552 3.814697265625e-06 21
BrentPollardPrime 3333552 0.00012111663818359375 0
DivisionTentativa 7767758 2.9087066650390625e-05 222
BrentPollardPrime 7767758 0.0002346038818359375 0
DivisionTentativa 13497844 6.508827209472656e-05 432
BrentPollardPrime 13497844 0.0008413791656494141 0
DivisionTentativa 85888230 6.532669067382812e-05 457
BrentPollardPrime 85888230 7.009506225585938e-05 0
DivisionTentativa 48846286 0.00019693374633789062 1322
BrentPollardPrime 48846286 4.267692565917969e-05 0
DivisionTentativa 63417730 7.152557373046875e-06 57
BrentPollardPrime 63417730 0.000202178955078125 0
DivisionTentativa 56624726 3.24249267578125e-05 238
BrentPollardPrime 56624726 9.34600830078125e-05 0
DivisionTentativa 64332624 1.049041748046875e-05 83
BrentPollardPrime 64332624 0.0001366138458251953 0
DivisionTentativa 61910637 0.0001804828643798828 1215
BrentPollardPrime 61910637 7.271766662597656e-05 0
DivisionTentativa 85192617 8.106231689453125e-05 561
BrentPollardPrime 85192617 0.00030231475830078125 0
DivisionTentativa 67455699 5.9604644775390625e-06 41
BrentPollardPrime 67455699 0.00018644332885742188 0
DivisionTentativa 589227591 3.790855407714844e-05 271
BrentPollardPrime 589227591 0.00020360946655273438 0
DivisionTentativa 988344257 0 0
BrentPollardPrime 988344257 0 0
DivisionTentativa 831193405 2.3603439331054688e-05 182
BrentPollardPrime 831193405 0.0005483627319335938 0
DivisionTentativa 971231929 0.0011696815490722656 7147
BrentPollardPrime 971231929 0.0024213790893554688 0
DivisionTentativa 680736155 0.00014781951904296875 943
BrentPollardPrime 680736155 0.000110626220703125 0
DivisionTentativa 858685557 0.000682830810546875 4515
BrentPollardPrime 858685557 8.535385131835938e-05 0
DivisionTentativa 369613566 2.3126602172851562e-05 175
BrentPollardPrime 369613566 0.0004467964172363281 0
DivisionTentativa 857864595 0.0001125335693359375 768
BrentPollardPrime 857864595 0.00010609626770019531 0
DivisionTentativa 560685012 1.5974044799804688e-05 118
BrentPollardPrime 560685012 0.0002129077911376953 0
DivisionTentativa 965857504 0.00021982192993164062 1473
BrentPollardPrime 965857504 4.5299530029296875e-05 0
DivisionTentativa 3348938122 0.00020003318786621094 1284
BrentPollardPrime 3348938122 0.0006442070007324219 0
DivisionTentativa 6396945853 0 0
BrentPollardPrime 6396945853 0 0
DivisionTentativa 5599231691 0 0
BrentPollardPrime 5599231691 0 0
DivisionTentativa 9258222259 6.4373016357421875e-06 40
BrentPollardPrime 9258222259 0.0003829002380371094 0
DivisionTentativa 863060560 5.4836273193359375e-06 33
BrentPollardPrime 863060560 0.0002880096435546875 0
DivisionTentativa 8526972036 0.0003383159637451172 2150
BrentPollardPrime 8526972036 9.322166442871094e-05 0
DivisionTentativa 1248116427 2.3126602172851562e-05 170
BrentPollardPrime 1248116427 0.0005500316619873047 0
DivisionTentativa 1512822825 3.218650817871094e-05 240
BrentPollardPrime 1512822825 0.0001246929168701172 0
DivisionTentativa 1912387413 4.100799560546875e-05 265
BrentPollardPrime 1912387413 0.00016117095947265625 0
DivisionTentativa 3568191283 0 0
BrentPollardPrime 3568191283 0 0
DivisionTentativa 79794346897 0 0
BrentPollardPrime 79794346897 0 0
DivisionTentativa 90815571809 0.00010585784912109375 656
BrentPollardPrime 90815571809 0.0022847652435302734 0
DivisionTentativa 87069374143 0 0
BrentPollardPrime 87069374143 0 0
DivisionTentativa 20609513431 0.0019137859344482422 10621
BrentPollardPrime 20609513431 7.987022399902344e-05 0
DivisionTentativa 52172865850 0.0005435943603515625 3228
BrentPollardPrime 52172865850 0.0022089481353759766 0
DivisionTentativa 99087012544 8.821487426757812e-05 551
BrentPollardPrime 99087012544 0.00027871131896972656 0
DivisionTentativa 16570410182 0.004406929016113281 24277
BrentPollardPrime 16570410182 8.177757263183594e-05 0
DivisionTentativa 14160063237 0.0003559589385986328 2150
BrentPollardPrime 14160063237 0.0009806156158447266 0
DivisionTentativa 40978750375 7.82012939453125e-05 541
BrentPollardPrime 40978750375 0.0011031627655029297 0
DivisionTentativa 29638355083 0.004971981048583984 26333
BrentPollardPrime 29638355083 0.001817941665649414 0
DivisionTentativa 285300590280 0.0001735687255859375 998
BrentPollardPrime 285300590280 0.0009112358093261719 0
DivisionTentativa 110854742804 0.0001895427703857422 1078
BrentPollardPrime 110854742804 0.003656148910522461 0
DivisionTentativa 703545797910 1.1205673217773438e-05 70
BrentPollardPrime 703545797910 0.0006375312805175781 0
DivisionTentativa 560167670934 0.00018262863159179688 1187
BrentPollardPrime 560167670934 0.0003173351287841797 0
DivisionTentativa 277638310666 0.01819157600402832 99360
BrentPollardPrime 277638310666 9.298324584960938e-05 0
DivisionTentativa 716336461528 0.014503717422485352 79802
BrentPollardPrime 716336461528 9.512901306152344e-05 0
DivisionTentativa 149363453001 0.004266500473022461 22494
BrentPollardPrime 149363453001 0.00018858909606933594 0
DivisionTentativa 685662351716 0.00046133995056152344 2710
BrentPollardPrime 685662351716 0.0010056495666503906 0
DivisionTentativa 698851950753 0.007387876510620117 38812
BrentPollardPrime 698851950753 0.00019097328186035156 0
DivisionTentativa 878775878470 7.176399230957031e-05 427
BrentPollardPrime 878775878470 0.001096487045288086 0
DivisionTentativa 2369853211055 0.01052713394165039 55359
BrentPollardPrime 2369853211055 0.0001621246337890625 0
DivisionTentativa 8891906228685 0.0003027915954589844 1700
BrentPollardPrime 8891906228685 0.0011539459228515625 0
DivisionTentativa 7707311199971 0.011780261993408203 64686
BrentPollardPrime 7707311199971 0.0011456012725830078 0
DivisionTentativa 5920740269900 5.340576171875e-05 336
BrentPollardPrime 5920740269900 0.002652406692504883 0
DivisionTentativa 6124883172554 0.00020599365234375 1184
BrentPollardPrime 6124883172554 0.0005273818969726562 0
DivisionTentativa 8393920874404 0.019612789154052734 107146
BrentPollardPrime 8393920874404 0.0002219676971435547 0
DivisionTentativa 9266474174759 0.01470327377319336 80472
BrentPollardPrime 9266474174759 0.01578807830810547 0
DivisionTentativa 2312751085507 0.0006954669952392578 3740
BrentPollardPrime 2312751085507 0.002161264419555664 0
DivisionTentativa 4336035658297 0.038496971130371094 209882
BrentPollardPrime 4336035658297 0.00010037422180175781 0
DivisionTentativa 1053903479870 0.000774383544921875 4915
BrentPollardPrime 1053903479870 0.0010175704956054688 0
DivisionTentativa 6922663706647 0.0036203861236572266 19179
BrentPollardPrime 6922663706647 0.0006656646728515625 0
DivisionTentativa 3073311381722 2.2172927856445312e-05 136
BrentPollardPrime 3073311381722 0.0007903575897216797 0
DivisionTentativa 65549797454651 0.017006874084472656 93182
BrentPollardPrime 65549797454651 0.017235755920410156 0
DivisionTentativa 93870692368805 0.0011296272277832031 7143
BrentPollardPrime 93870692368805 0.0013403892517089844 0
DivisionTentativa 44376902566675 6.794929504394531e-05 409
BrentPollardPrime 44376902566675 0.0014185905456542969 0
DivisionTentativa 7147950639863 0.0076122283935546875 39923
BrentPollardPrime 7147950639863 0.00020003318786621094 0
DivisionTentativa 97254851649961 0.014678478240966797 77655
BrentPollardPrime 97254851649961 0.00023794174194335938 0
DivisionTentativa 82439347187095 0.02193593978881836 114782
BrentPollardPrime 82439347187095 0.0003819465637207031 0
DivisionTentativa 14906363865369 0.00018906593322753906 1088
BrentPollardPrime 14906363865369 0.0012772083282470703 0
DivisionTentativa 23162413217345 0.10498046875 573956
BrentPollardPrime 23162413217345 0.00019168853759765625 0
DivisionTentativa 459833160881970 0.00077056884765625 4458
BrentPollardPrime 459833160881970 0.0009374618530273438 0
DivisionTentativa 761884212381835 0.020482301712036133 107542
BrentPollardPrime 761884212381835 0.002675771713256836 0
DivisionTentativa 272804589966089 0.0013120174407958984 7619
BrentPollardPrime 272804589966089 0.002744913101196289 0
DivisionTentativa 901796099192414 0.3873119354248047 2123551
BrentPollardPrime 901796099192414 0.0410609245300293 0
DivisionTentativa 381413946067651 0.003718137741088867 19653
BrentPollardPrime 381413946067651 0.01738572120666504 0
DivisionTentativa 43155495774730 0.0033469200134277344 17758
BrentPollardPrime 43155495774730 0.008827924728393555 0
DivisionTentativa 456488058096238 0.018112897872924805 99016
BrentPollardPrime 456488058096238 0.016068458557128906 0
DivisionTentativa 526472133206810 0.026475906372070312 135809
BrentPollardPrime 526472133206810 0.0006580352783203125 0
DivisionTentativa 582519558332722 0.00022983551025390625 1346
BrentPollardPrime 582519558332722 0.000949859619140625 0
DivisionTentativa 692707007305010 0.003749847412109375 19423
BrentPollardPrime 692707007305010 0.0005066394805908203 0
DivisionTentativa 4570896579871135 0.0005013942718505859 2767
BrentPollardPrime 4570896579871135 0.0038836002349853516 0
DivisionTentativa 6260670968076127 0.29427361488342285 1588944
BrentPollardPrime 6260670968076127 0.07366824150085449 0
DivisionTentativa 7816658297193564 0.000457763671875 2501
BrentPollardPrime 7816658297193564 0.0033087730407714844 0
DivisionTentativa 4973609862061655 0.016431570053100586 88429
BrentPollardPrime 4973609862061655 0.0005578994750976562 0
DivisionTentativa 3829173729375119 0.007230997085571289 37179
BrentPollardPrime 3829173729375119 0.018145322799682617 0
DivisionTentativa 1552023467583104 0.002271890640258789 12464
BrentPollardPrime 1552023467583104 0.0006282329559326172 0
DivisionTentativa 7445759199937275 6.890296936035156e-05 394
BrentPollardPrime 7445759199937275 0.0011794567108154297 0
DivisionTentativa 8309392669288067 0.01679539680480957 86324
BrentPollardPrime 8309392669288067 0.0028977394104003906 0
DivisionTentativa 716613349313050 0.0744013786315918 381580
BrentPollardPrime 716613349313050 0.00013136863708496094 0
DivisionTentativa 6948225362721909 0.0001456737518310547 817
BrentPollardPrime 6948225362721909 0.0016427040100097656 0
DivisionTentativa 78049086429757288 0.24909567832946777 1297070
BrentPollardPrime 78049086429757288 0.08362627029418945 0
DivisionTentativa 32667128160076330 2.931978702545166 15241382
BrentPollardPrime 32667128160076330 0.00021600723266601562 0
DivisionTentativa 86133318650118568 5.139048337936401 27670016
BrentPollardPrime 86133318650118568 0.0001430511474609375 0
DivisionTentativa 85876554559132215 0.21831226348876953 1115808
BrentPollardPrime 85876554559132215 0.0008690357208251953 0
DivisionTentativa 87812359310720754 0.11624765396118164 594631
BrentPollardPrime 87812359310720754 0.13428354263305664 0
DivisionTentativa 32911453714203694 0.009265422821044922 49970
BrentPollardPrime 32911453714203694 0.02002549171447754 0
DivisionTentativa 18910121474809969 0.046114444732666016 248481
BrentPollardPrime 18910121474809969 0.04139256477355957 0
DivisionTentativa 16228296874367933 0.032277822494506836 167226
BrentPollardPrime 16228296874367933 0.011562108993530273 0
DivisionTentativa 18235147780379737 0.03208184242248535 171806
BrentPollardPrime 18235147780379737 0.0233001708984375 0
DivisionTentativa 79283325987117037 0.0021338462829589844 11553
BrentPollardPrime 79283325987117037 0.006539821624755859 0
DivisionTentativa 142605560910932415 0.0005381107330322266 2866
BrentPollardPrime 142605560910932415 0.00442194938659668 0
DivisionTentativa 737026215283012711 16.0427303314209 86528903
BrentPollardPrime 737026215283012711 0.0002586841583251953 0
DivisionTentativa 797895575366867252 0.0018892288208007812 9988
BrentPollardPrime 797895575366867252 0.011495113372802734 0
DivisionTentativa 477800643568886367 19.706652879714966 106422018
BrentPollardPrime 477800643568886367 0.0002658367156982422 0
DivisionTentativa 258727403033243784 2.972843647003174 15985415
BrentPollardPrime 258727403033243784 0.00022983551025390625 0
DivisionTentativa 215462575422139228 0.031884193420410156 170630
BrentPollardPrime 215462575422139228 0.08514237403869629 0
DivisionTentativa 201947122420969400 0.006432533264160156 33777
BrentPollardPrime 201947122420969400 0.02160167694091797 0
DivisionTentativa 460555588573764051 0.0009062290191650391 4964
BrentPollardPrime 460555588573764051 0.004137992858886719 0
DivisionTentativa 741170782035143026 0.04489707946777344 229946
BrentPollardPrime 741170782035143026 0.0960540771484375 0
DivisionTentativa 314106889878404927 0.0015425682067871094 8002
BrentPollardPrime 314106889878404927 0.010815620422363281 0
DivisionTentativa 4169820250581538316 0.10963010787963867 558679
BrentPollardPrime 4169820250581538316 0.05165219306945801 0
DivisionTentativa 5947213107109456914 51.122405767440796 265491038
BrentPollardPrime 5947213107109456914 0.00017881393432617188 0
DivisionTentativa 2847909970608875981 0 0
BrentPollardPrime 2847909970608875981 0 0
DivisionTentativa 2820273244693112641 0.07828450202941895 409053
BrentPollardPrime 2820273244693112641 0.05694127082824707 0
DivisionTentativa 2486859640055496973 82.00765037536621 363808208
BrentPollardPrime 2486859640055496973 1.589989185333252 0
DivisionTentativa 4425950900226500404 0.033869266510009766 172699
BrentPollardPrime 4425950900226500404 0.0072176456451416016 0
DivisionTentativa 2275322084762066158 0.008971929550170898 47646
BrentPollardPrime 2275322084762066158 0.04376339912414551 0
DivisionTentativa 4086674987566057302 0.02308797836303711 117396
BrentPollardPrime 4086674987566057302 0.012243986129760742 0
DivisionTentativa 3869489548133952786 0.4112734794616699 2169134
BrentPollardPrime 3869489548133952786 0.0005705356597900391 0
DivisionTentativa 6256228880255096051 0.01736927032470703 87900
BrentPollardPrime 6256228880255096051 0.04399228096008301 0
DivisionTentativa 84133007980310725895 0.7211718559265137 3678237
BrentPollardPrime 84133007980310725895 0.38286495208740234 0
DivisionTentativa 8569727317843049966 0.0655663013458252 330026
BrentPollardPrime 8569727317843049966 0.020180940628051758 0
DivisionTentativa 14904979150787217385 114.74043536186218 460414954
BrentPollardPrime 14904979150787217385 0.0003230571746826172 0
DivisionTentativa 80517565781463849144 0.009846687316894531 52327
BrentPollardPrime 80517565781463849144 0.011600732803344727 0
DivisionTentativa 84362748950110433758 6.014369964599609 32144423
BrentPollardPrime 84362748950110433758 0.007476329803466797 0
DivisionTentativa 27280013383314434065 0.06379055976867676 322146
BrentPollardPrime 27280013383314434065 0.015134572982788086 0
DivisionTentativa 92381331677762676864 1.1782333850860596 6329686
BrentPollardPrime 92381331677762676864 0.000335693359375 0
DivisionTentativa 14727589141312128924 0.05603623390197754 289425
BrentPollardPrime 14727589141312128924 0.0032160282135009766 0
