nombre tamaño tiempo pasos
DivisionTentativa 761752 1.6927719116210938e-05 88
BrentPollardPrime 761752 5.0067901611328125e-05 0
DivisionTentativa 255317 8.58306884765625e-06 58
BrentPollardPrime 255317 0.0002079010009765625 0
DivisionTentativa 477306 5.245208740234375e-06 32
BrentPollardPrime 477306 3.981590270996094e-05 0
DivisionTentativa 227681 4.291534423828125e-06 21
BrentPollardPrime 227681 7.677078247070312e-05 0
DivisionTentativa 621032 6.67572021484375e-06 47
BrentPollardPrime 621032 0.0001804828643798828 0
DivisionTentativa 848017 0 0
BrentPollardPrime 848017 0 0
DivisionTentativa 203887 4.0531158447265625e-06 26
BrentPollardPrime 203887 9.34600830078125e-05 0
DivisionTentativa 458978 5.7220458984375e-06 40
BrentPollardPrime 458978 0.0002396106719970703 0
DivisionTentativa 601992 3.5762786865234375e-06 18
BrentPollardPrime 601992 7.152557373046875e-05 0
DivisionTentativa 843938 2.09808349609375e-05 158
BrentPollardPrime 843938 0.0002090930938720703 0
DivisionTentativa 3294880 6.67572021484375e-06 48
BrentPollardPrime 3294880 7.486343383789062e-05 0
DivisionTentativa 3491330 2.193450927734375e-05 163
BrentPollardPrime 3491330 5.6743621826171875e-05 0
DivisionTentativa 7472675 7.867813110351562e-06 61
BrentPollardPrime 7472675 6.651878356933594e-05 0
DivisionTentativa 8720737 1.621246337890625e-05 127
BrentPollardPrime 8720737 0.0004336833953857422 0
DivisionTentativa 770599 3.5762786865234375e-06 21
BrentPollardPrime 770599 0.00012969970703125 0
DivisionTentativa 3756066 3.147125244140625e-05 216
BrentPollardPrime 3756066 4.00543212890625e-05 0
DivisionTentativa 9271162 1.5735626220703125e-05 124
BrentPollardPrime 9271162 4.1484832763671875e-05 0
DivisionTentativa 2597329 4.291534423828125e-06 30
BrentPollardPrime 2597329 0.00012826919555664062 0
DivisionTentativa 3458179 0 0
BrentPollardPrime 3458179 0 0
DivisionTentativa 7108901 1.1205673217773438e-05 91
BrentPollardPrime 7108901 0.00011754035949707031 0
DivisionTentativa 68581479 2.7179718017578125e-05 204
BrentPollardPrime 68581479 8.058547973632812e-05 0
DivisionTentativa 57506475 3.337860107421875e-06 14
BrentPollardPrime 57506475 0.00027632713317871094 0
DivisionTentativa 68488753 0 0
BrentPollardPrime 68488753 0 0
DivisionTentativa 65504505 2.2411346435546875e-05 174
